Match_ID,GameMode
8692308416,22
8692152076,22
8692097424,22
8692059532,15
8692056580,15
8691987794,22
8691952414,22
8691900650,22
8689170273,22
8689129867,22
8688224782,22
8688100907,22
8688012059,22
8687110834,22
8687060917,22
8686979787,22
8685669635,22
8685585733,22
8685497270,22
8685458182,22
8685159936,15
8684511325,22
8684217479,15
8684149810,22
8684081019,22
8673621716,15
8673530640,15
8672622756,15
8672610165,15
8658527161,22
8658460509,22
8656296511,15
8656163072,15
8654854758,15
8654815601,15
8654647192,15
8654411156,15
8654337246,22
8651405520,22
8651357914,22
8651290758,22
8651234633,22
8651194981,22
8651129978,22
8649317464,15
8649260291,22
8649193963,22
8645850568,15
8645776978,15
8645772942,15
8645714027,15
8645507839,15
8645428640,15
8645391799,15
8645326285,22
8645228623,22
8644089398,22
8644024123,22
8643586570,22
8643453218,22
8643333157,22
8642236916,22
8642161942,15
8642049031,22
8641948350,22
8641825351,22
8640912882,22
8639782848,15
8639752172,23
8639713240,23
8638509877,15
8638456432,2
8638378470,2
8638293139,2
8638215217,2
8637144630,15
8637127709,15
8637112508,15
8637090040,15
8637069875,15
8637045820,15
8637005429,23
8636944270,18
8636873057,22
8636802078,22
8636769806,22
8636704597,22
8636635195,22
8636573748,22
8636256821,22
8636217950,22
8632642301,2
8632592176,2
8632516734,2
8632436167,2
8632365973,16
8632323064,20
8629582575,22
8629529632,22
8628347753,22
8628101957,23
8626963936,15
8626930166,23
8626855244,22
8622553641,15
8622480223,22
8622425438,22
8620962741,15
8620893951,23
8620709339,22
8620660681,22
8620556868,22
8619743625,22
8619695544,22
8619487690,22
8618501394,22
8618375834,2
8617227770,15
8617201694,22
8617168931,22
8614278172,23
8614239440,23
8614220617,23
8614201375,23
8614154987,15
8614055591,2
8613954722,2
8613858761,22
8613795727,18
8613727232,23
8612647213,23
8612615829,23
8612581070,23
8612540139,23
8612502042,23
8612422241,15
8612367042,22
8612293089,22
8611123611,16
8611061530,16
8611058881,16
8609733609,22
8609678845,15
8606989941,16
8605362572,22
8605296123,22
8582563677,22
8582253454,22
8579346284,2
8578109353,2
8578049216,2
8577964252,2
8576536414,2
8575062351,2
8574948350,2
8574922796,15
8573562529,2
8573499200,2
8572903003,22
8572690238,22
8572622154,22
8569089453,15
8568521923,2
8568365982,2
8539159438,15
8539124221,22
8538977738,22
8538913193,22
8538828047,22
8538716772,22
8538672683,15
8538288113,23
8538207354,23
8538102820,22
8537491313,22
8537454895,22
8537396776,22
8537331244,22
8537035069,15
8536957286,22
8536530589,22
8535605909,15
8535539510,22
8535422218,22
8535243704,15
8530253790,15
8530236956,15
8530149359,22
8529753498,15
8529559993,22
8529490624,22
8529234828,22
8529186561,22
8529095867,22
8527757130,22
8527615388,22
8522376002,22
8522306939,22
8522065374,15
8519521770,22
8517462202,22
8517373159,22
8517260330,22
8517134041,22
8516779792,22
8496579911,23
8495579318,15
8495500776,22
8495434984,22
8495347370,22
8495051056,22
8494977562,23
8493586310,22
8492158143,23
8492082006,23
8492043302,23
8491615798,22
8490307370,22
8490150983,22
8490045494,22
8489718222,22
8489117953,15
8489105895,15
8489060761,22
8489034033,15
8489029085,22
8488514023,22
8488046198,23
8488016445,23
8487948014,22
8487098355,23
8487070714,15
8487023889,23
8486763334,22
8486623949,22
8486542974,22
8486465860,22
8486332173,23
8486289146,22
8485932148,15
8485906437,15
8485864146,22
8485832868,4
8485530854,22
8485456903,22
8485358047,22
8484071314,15
8484016197,22
8483969668,22
8483891929,22
8483815568,22
8483310055,22
8483207410,22
8483092476,15
8483014169,22
8482912027,22
8482834201,22
8482752523,22
8482079775,22
8482023089,22
8481962051,22
8481904079,22
8480376858,15
8480339872,15
8480213417,22
8480137101,22
8477969106,22
8477920408,15
8475263700,15
8474794901,22
8474694865,22
8474637981,22
8473520398,22
8473356020,22
8473266416,22
8473115698,22
8472145554,15
8472080878,22
8472028213,22
8471984921,22
8471928304,22
8471814031,22
8471781886,15
8471707050,22
8470909929,22
8470837867,22
8470790503,22
8466348895,22
8466296755,15
8466179622,22
8466046083,22
8464410335,22
8464339358,22
8463241332,22
8463157493,22
8462136191,22
8462053032,22
8461938830,15
8461823197,15
8461671100,22
8461577109,22
8461462910,22
8461339589,22
8461234943,22
8461149718,22
8458446836,15
8458348038,22
8458268258,22
8457835299,22
8457794190,22
8457738110,22
8455651362,22
8455568894,22
8455486864,22
8455317047,22
8455219201,22
8455161815,22
8445464717,22
8445399578,22
8445286505,22
8445230266,15
8441944065,15
8441683433,22
8441442554,22
8441339120,22
8441234832,22
8440522159,22
8440475948,22
8440429895,22
8440378110,22
8440320448,22
8435688240,15
8435583241,22
8435317108,22
8432957741,22
8432893335,22
8432847012,22
8432669707,22
8432595697,22
8432512742,22
