#,Match_ID,Team,Is_Winner,Duration,Nickname,Hero_Name,K,D,A,Account_ID
28,7605931720,Dire,Yes,42 мин,OUHETTUR,Alchemist,13,3,21,53849319
28,7605931720,Dire,Yes,42 мин,StrongLeg,Lifestealer,14,4,17,34226035
29,7598473841,Radiant,Yes,42 мин,elv1n777,Hoodwink,8,5,37,257326716
29,7598473841,Radiant,Yes,42 мин,KeS.Jr,Spirit Breaker,6,9,31,62575637
29,7598473841,Radiant,Yes,42 мин,Atzik,Jakiro,8,6,40,44019880
29,7598473841,Radiant,Yes,42 мин,86-й,Pugna,15,9,36,59850816
29,7598473841,Radiant,Yes,42 мин,StrongLeg,Faceless Void,20,5,18,34226035
29,7598473841,Dire,No,42 мин,Y O S E N,Lifestealer,11,7,13,104608913
29,7598473841,Dire,No,42 мин,Хоссср,Pudge,5,15,16,35394283
29,7598473841,Dire,No,42 мин,OUHETTUR,Dragon Knight,4,9,11,53849319
29,7598473841,Dire,No,42 мин,ластхит по перхоти,Shadow Shaman,3,14,23,207865369
29,7598473841,Dire,No,42 мин,Булка с маком,Dawnbreaker,8,13,24,48804856
30,7598366164,Radiant,Yes,62 мин,Хоссср,Pudge,17,13,28,35394283
30,7598366164,Radiant,Yes,62 мин,Y O S E N,Sven,19,4,15,104608913
30,7598366164,Radiant,Yes,62 мин,ластхит по перхоти,Jakiro,8,8,38,207865369
30,7598366164,Radiant,Yes,62 мин,OUHETTUR,Zeus,15,2,39,53849319
30,7598366164,Radiant,Yes,62 мин,Булка с маком,Kunkka,9,12,42,48804856
30,7598366164,Dire,No,62 мин,86-й,Clinkz,13,14,14,59850816
30,7598366164,Dire,No,62 мин,KeS.Jr,Underlord,5,15,20,62575637
30,7598366164,Dire,No,62 мин,elv1n777,Lich,4,15,21,257326716
30,7598366164,Dire,No,62 мин,Atzik,Ancient Apparition,8,15,20,44019880
30,7598366164,Dire,No,62 мин,StrongLeg,Luna,8,11,15,34226035
31,7568186592,Radiant,No,48 мин,teo,Ursa,9,12,10,110621494
31,7568186592,Radiant,No,48 мин,Булка с маком,Dawnbreaker,9,17,17,48804856
31,7568186592,Radiant,No,48 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Rubick,5,14,21,94204864
31,7568186592,Radiant,No,48 мин,Rome,Lina,6,13,16,94035796
31,7568186592,Radiant,No,48 мин,GOD OF DOTA,Ancient Apparition,7,11,21,141842258
31,7568186592,Dire,Yes,48 мин,Хоссср,Spirit Breaker,13,6,33,35394283
31,7568186592,Dire,Yes,48 мин,Snake-Jazzman,Lich,11,8,30,37615683
31,7568186592,Dire,Yes,48 мин,Y O S E N,Snapfire,13,7,21,104608913
31,7568186592,Dire,Yes,48 мин,StrongLeg,Dragon Knight,9,6,33,34226035
31,7568186592,Dire,Yes,48 мин,_TwoGirls_,Phoenix,19,10,31,371248693
32,7568065868,Radiant,No,56 мин,Хоссср,Disruptor,6,1,21,35394283
32,7568065868,Radiant,No,56 мин,teo,Lifestealer,13,11,14,110621494
32,7568065868,Radiant,No,56 мин,Snake-Jazzman,Lich,4,11,21,37615683
32,7568065868,Radiant,No,56 мин,GOD OF DOTA,Wraith King,5,8,24,141842258
32,7568065868,Radiant,No,56 мин,_TwoGirls_,Arc Warden,3,10,14,371248693
32,7568065868,Dire,Yes,56 мин,StrongLeg,Phantom Lancer,10,4,15,34226035
32,7568065868,Dire,Yes,56 мин,ластхит по перхоти,Centaur Warrunner,2,8,30,207865369
32,7568065868,Dire,Yes,56 мин,Булка с маком,Pudge,10,7,14,48804856
32,7568065868,Dire,Yes,56 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Rubick,8,8,21,94204864
32,7568065868,Dire,Yes,56 мин,Y O S E N,Necrophos,9,5,20,104608913
33,7567941674,Radiant,Yes,45 мин,Y O S E N,Razor,9,4,29,104608913
33,7567941674,Radiant,Yes,45 мин,ластхит по перхоти,Tidehunter,12,3,38,207865369
33,7567941674,Radiant,Yes,45 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Rubick,6,8,22,94204864
33,7567941674,Radiant,Yes,45 мин,StrongLeg,Spectre,29,8,22,34226035
33,7567941674,Radiant,Yes,45 мин,Булка с маком,Witch Doctor,5,12,16,48804856
33,7567941674,Dire,No,45 мин,Хоссср,Drow Ranger,3,13,10,35394283
33,7567941674,Dire,No,45 мин,teo,Night Stalker,10,10,15,110621494
33,7567941674,Dire,No,45 мин,_TwoGirls_,Phantom Assassin,14,11,8,371248693
33,7567941674,Dire,No,45 мин,GOD OF DOTA,Silencer,8,13,19,141842258
33,7567941674,Dire,No,45 мин,Snake-Jazzman,Lich,0,14,16,37615683
34,7559374159,Radiant,No,44 мин,teo,Zeus,14,12,17,110621494
34,7559374159,Radiant,No,44 мин,Snake-Jazzman,Lich,0,14,22,37615683
34,7559374159,Radiant,No,44 мин,люблю худых,Lifestealer,14,10,9,212155110
34,7559374159,Radiant,No,44 мин,Rome,Winter Wyvern,7,12,16,94035796
34,7559374159,Radiant,No,44 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Rubick,5,19,21,94204864
34,7559374159,Dire,Yes,44 мин,Хоссср,Spirit Breaker,9,8,29,35394283
34,7559374159,Dire,Yes,44 мин,Atzik,Witch Doctor,12,9,32,44019880
34,7559374159,Dire,Yes,44 мин,_TwoGirls_,Spectre,22,10,33,371248693
34,7559374159,Dire,Yes,44 мин,Булка с маком,Kunkka,4,10,21,48804856
34,7559374159,Dire,Yes,44 мин,StrongLeg,Pangolier,19,4,27,34226035
35,7559316969,Radiant,No,46 мин,_TwoGirls_,Storm Spirit,22,11,7,371248693
35,7559316969,Radiant,No,46 мин,Snake-Jazzman,Lich,3,14,16,37615683
35,7559316969,Radiant,No,46 мин,KeS.Jr,Spirit Breaker,9,9,22,62575637
35,7559316969,Radiant,No,46 мин,Rome,Sand King,5,7,25,94035796
35,7559316969,Radiant,No,46 мин,StrongLeg,Luna,9,9,5,34226035
35,7559316969,Dire,Yes,46 мин,Хоссср,Techies,7,8,19,35394283
35,7559316969,Dire,Yes,46 мин,Atzik,Witch Doctor,6,12,23,44019880
35,7559316969,Dire,Yes,46 мин,люблю худых,Anti-Mage,22,5,12,212155110
35,7559316969,Dire,Yes,46 мин,teo,Zeus,7,13,26,110621494
35,7559316969,Dire,Yes,46 мин,Булка с маком,Kunkka,7,12,16,48804856
36,7559238144,Radiant,No,45 мин,Булка с маком,Pudge,2,11,11,48804856
36,7559238144,Radiant,No,45 мин,Snake-Jazzman,Lich,3,11,9,37615683
36,7559238144,Radiant,No,45 мин,KeS.Jr,Shadow Demon,2,8,9,62575637
36,7559238144,Radiant,No,45 мин,Хоссср,Chaos Knight,7,5,5,35394283
36,7559238144,Radiant,No,45 мин,StrongLeg,Templar Assassin,5,4,7,34226035
36,7559238144,Dire,Yes,45 мин,Rome,Vengeful Spirit,3,4,16,94035796
36,7559238144,Dire,Yes,45 мин,teo,Sven,17,6,8,110621494
36,7559238144,Dire,Yes,45 мин,ластхит по перхоти,Grimstroke,2,6,27,207865369
